p,lower,upper,pval,corr,protected_corr,protected_conf
1.0,-0.0292,0.0262,0.916,1.0,-0.00981426008038,0.326431534936
1.0,-0.0197,0.0357,0.571,1.0,-0.00116049519356,0.907624762413
1.0,-0.0491,0.0063,0.131,1.0,-0.00408489979968,0.682950217063
1.0,-0.0203,0.0351,0.601,1.0,0.00403846932428,0.686361197395
1.0,-0.0435,0.0119,0.263,1.0,0.00161046969725,0.872072180808
1.0,-0.0198,0.0357,0.574,1.0,-0.00809827056278,0.418090141531
1.0,-0.0214,0.0341,0.652,1.0,-0.00278073394624,0.780982289705
1.0,-0.0393,0.0161,0.413,1.0,-0.00823167594911,0.410463276699
1.0,-0.0253,0.0302,0.862,1.0,-0.00586904578603,0.557313678306
1.0,-0.0201,0.0353,0.591,1.0,0.0069887885191,0.484677015967
1.0,-0.0203,0.0352,0.598,1.0,0.00520301528013,0.602896303871
1.0,-0.0452,0.0102,0.216,1.0,0.00208080929477,0.835185911334
1.0,0.0016,0.0570,0.0382,1.0,0.00762743736672,0.445666501261
1.0,-0.0219,0.0336,0.679,1.0,0.00562228716903,0.574005051836
1.0,-0.0358,0.0197,0.57,1.0,0.00338181795071,0.735257321587
1.0,-0.0164,0.0390,0.424,1.0,0.00401121264606,0.68836657397
1.0,-0.0237,0.0317,0.776,1.0,-0.00362457188086,0.717043374977
1.0,-0.0332,0.0222,0.696,1.0,0.00158419843471,0.874141504067
1.0,-0.0317,0.0237,0.777,1.0,0.0015830289378,0.874233642607
1.0,-0.0252,0.0303,0.856,1.0,0.00803493717427,0.4217399682
1.0,-0.0150,0.0405,0.367,1.0,0.00263370750865,0.792289854097
1.0,-0.0190,0.0364,0.539,1.0,0.00123849551554,0.901446618282
1.0,-0.0373,0.0181,0.496,1.0,0.00194937830282,0.845460550471
1.0,-0.0237,0.0318,0.774,1.0,0.00296962237606,0.766523181458
1.0,-0.0245,0.0309,0.82,1.0,0.000409249314603,0.967359818784
1.0,-0.0210,0.0344,0.637,1.0,0.00297105346956,0.766413936186
1.0,-0.0263,0.0291,0.922,1.0,0.00419119833952,0.675165500072
1.0,-0.0233,0.0321,0.756,1.0,0.00962266226084,0.33596511523
1.0,-0.0288,0.0267,0.94,1.0,-0.00721084440091,0.470907255542
1.0,-0.0088,0.0466,0.182,1.0,0.00741073089301,0.458699125468
1.0,-0.0317,0.0237,0.776,1.0,0.00319892575807,0.749079460953
1.0,-0.0285,0.0270,0.958,1.0,-0.0011557757086,0.907998760158
1.0,-0.0302,0.0253,0.863,1.0,-0.00623576257195,0.532953133415
1.0,-0.0312,0.0242,0.806,1.0,-0.00958308111194,0.337956716374
1.0,-0.0393,0.0161,0.412,1.0,0.000817186836736,0.934878533345
1.0,-0.0265,0.0289,0.932,1.0,0.00549797992857,0.582502231931
1.0,-0.0281,0.0273,0.977,1.0,0.00158408123357,0.874150737659
1.0,-0.0222,0.0333,0.696,1.0,-0.00179363763088,0.857669574091
1.0,-0.0185,0.0370,0.513,1.0,0.00990301511014,0.322075397973
1.0,-0.0332,0.0222,0.696,1.0,-0.00385822398954,0.699662864513
1.0,-0.0257,0.0298,0.885,1.0,0.00280630410202,0.779020375009
1.0,-0.0252,0.0302,0.861,1.0,0.00358148495321,0.72026483277
0.95,-0.0321,0.0234,0.758,0.90363319475,-0.00777417857319,0.436962672464
1.0,-0.0233,0.0321,0.755,1.0,0.00287066575147,0.774088368664
0.95,-0.0229,0.0325,0.734,0.907026256523,-0.00235698498124,0.813689246322
1.0,-0.0138,0.0416,0.326,1.0,0.00609090006037,0.542511504427
1.0,-0.0225,0.0329,0.713,1.0,-0.000180243738259,0.985621206423
0.95,-0.0274,0.0281,0.979,0.893626731409,0.00240533972383,0.809939367537
