protected,f0,accuracy,eps,protected_corr,pcp,fcorr,fcp
0.0,0.45,0.5421,0.4,0.24,0.0,0.01,0.55
0.0,0.4474,0.5255,0.39,0.23,0.0,0.0,1.0
0.0,0.4509,0.5348,0.39,0.24,0.0,-0.01,0.19
0.0,0.4496,0.5439,0.39,0.24,0.0,-0.0,0.75
0.0477,0.4541,0.5354,0.41,0.25,0.0,0.02,0.07
0.0,0.4514,0.5466,0.39,0.23,0.0,0.01,0.32
0.0,-0.4539,0.5433,0.4,0.24,0.0,-0.02,0.05
0.0,0.4529,0.5448,0.4,0.24,0.0,-0.0,0.67
0.0,0.4465,0.5418,0.38,0.23,0.0,-0.0,0.91
0.0,-0.4546,0.5381,0.42,0.25,0.0,-0.01,0.28
0.0,0.4471,0.5406,0.43,0.25,0.0,-0.01,0.6
0.0,0.4502,0.5373,0.4,0.24,0.0,-0.0,0.76
0.0,0.4485,0.5416,0.4,0.24,0.0,-0.0,0.69
0.0,0.4515,0.5407,0.4,0.23,0.0,-0.01,0.33
0.0,0.439,0.5334,0.39,0.24,0.0,-0.0,0.97
0.0,-0.4492,0.5396,0.42,0.26,0.0,-0.02,0.06
0.0,0.4486,0.5392,0.39,0.24,0.0,0.01,0.3
0.0,0.0,0.5346,0.42,0.26,0.0,-0.01,0.22
0.0,0.4557,0.5362,0.39,0.24,0.0,0.01,0.52
0.0,0.4492,0.5318,0.4,0.24,0.0,0.0,0.94
0.0,0.4507,0.5399,0.41,0.25,0.0,-0.01,0.46
0.0,0.4485,0.5416,0.42,0.25,0.0,-0.0,0.93
0.0,0.455,0.542,0.4,0.24,0.0,0.01,0.41
0.0,0.4545,0.5349,0.4,0.24,0.0,-0.0,0.99
0.0,0.4414,0.5392,0.4,0.24,0.0,-0.01,0.61
0.0,0.4512,0.536,0.4,0.24,0.0,-0.0,0.95
0.0,0.4494,0.545,0.39,0.23,0.0,0.0,0.69
0.0,0.457,0.5456,0.38,0.22,0.0,0.01,0.55
0.0,0.4422,0.5359,0.39,0.23,0.0,0.01,0.49
0.0,0.4492,0.535,0.4,0.24,0.0,0.01,0.2
0.0,0.4527,0.5446,0.41,0.25,0.0,-0.01,0.38
0.0,0.4489,0.537,0.39,0.23,0.0,-0.01,0.26
0.0,0.4476,0.5442,0.39,0.24,0.0,0.01,0.56
0.0,-0.4547,0.5351,0.39,0.23,0.0,-0.02,0.07
0.0,0.4506,0.5439,0.39,0.24,0.0,-0.01,0.48
0.0,0.4472,0.5466,0.39,0.23,0.0,0.0,0.65
0.0,0.4521,0.5336,0.4,0.24,0.0,-0.0,0.99
0.0,0.4479,0.5397,0.41,0.24,0.0,-0.0,0.94
0.0,0.455,0.5429,0.41,0.25,0.0,-0.01,0.21
0.0,0.4514,0.5444,0.41,0.25,0.0,-0.0,0.93
0.0,-0.4583,0.5372,0.41,0.25,0.0,-0.01,0.41
0.0,0.4539,0.5416,0.4,0.24,0.0,-0.01,0.43
0.0,0.4445,0.5352,0.4,0.23,0.0,0.01,0.43
0.0,0.4546,0.5398,0.4,0.24,0.0,0.0,0.91
0.0,0.4464,0.5486,0.41,0.24,0.0,0.0,0.65
0.0,0.4447,0.5425,0.41,0.25,0.0,-0.0,0.87
0.0,0.4553,0.547,0.4,0.23,0.0,-0.0,0.77
0.0,0.4418,0.541,0.38,0.23,0.0,0.0,0.86
0.05,0.4432,0.5419,0.4,0.24,0.0,0.03,0.0
0.0,0.4504,0.5398,0.4,0.25,0.0,-0.01,0.36
