f0,protected
-0.4933,0.2497
-0.5036,0.2516
-0.4934,0.242
-0.4976,0.2457
-0.4991,0.2528
-0.501,0.2525
-0.5101,0.2595
-0.2503,0.0
-0.4965,0.2467
-0.5013,0.2508
-0.2465,0.0
-0.5004,0.2427
-0.2551,0.0
-0.2561,0.0
-0.4932,0.2405
-0.2536,0.0
-0.4947,0.2482
-0.4984,0.2555
-0.4975,0.2441
-0.2499,0.0
-0.2475,0.0
-0.5014,0.2519
-0.2484,0.0
-0.5022,0.2505
-0.4922,0.2398
-0.5053,0.2477
-0.2507,0.0
-0.5078,0.2523
-0.5057,0.2489
-0.498,0.2475
-0.4951,0.2455
-0.4936,0.247
-0.5072,0.2549
-0.5022,0.2532
-0.4989,0.2474
-0.498,0.2459
-0.2431,0.0
-0.5009,0.2508
-0.4968,0.2441
-0.5006,0.2482
-0.5034,0.2511
-0.2501,0.0
-0.2556,0.0
-0.4991,0.2472
-0.493,0.2463
-0.2439,0.0
-0.25,0.0
-0.2478,0.0
-0.2496,0.0
-0.5045,0.2509
-0.5045,0.2536
-0.2537,0.0
-0.4968,0.2469
-0.4945,0.2467
-0.2475,0.0
-0.4969,0.2525
-0.504,0.2492
-0.5076,0.253
-0.2541,0.0
-0.5051,0.2495
-0.4913,0.2427
-0.4999,0.2492
-0.4947,0.2465
-0.5055,0.2576
-0.5089,0.2523
-0.4911,0.2522
-0.5041,0.2497
-0.2454,0.0
-0.2512,0.0
-0.4969,0.2487
-0.5088,0.2519
-0.4975,0.2485
-0.249,0.0
-0.2465,0.0
-0.2487,0.0
-0.4973,0.2493
-0.2454,0.0
-0.5036,0.2553
-0.4995,0.2546
-0.2509,0.0
-0.4916,0.2455
-0.4972,0.2506
-0.5028,0.245
-0.5083,0.2548
-0.2512,0.0
-0.4999,0.2529
-0.4994,0.2476
-0.252,0.0
-0.4959,0.2496
-0.5014,0.2517
-0.4821,0.2412
-0.5036,0.2468
-0.5001,0.2506
-0.2598,0.0
-0.4984,0.2493
-0.5093,0.2482
-0.4997,0.2487
-0.2505,0.0
-0.2456,0.0
-0.496,0.2476
