protected,f0
0.2511,0.5066
0.2494,0.5
0.2489,0.5006
0.2611,0.5038
0.2558,0.4972
0.2446,0.492
0.2488,0.4954
0.253,0.4916
0.2539,0.4952
0.2492,0.5013
0.2568,0.5012
0.2446,0.4971
0.2551,0.4983
0.2466,0.4901
0.258,0.504
0.2409,0.4988
0.2477,0.5043
0.2503,0.4993
0.2478,0.5
0.2558,0.5028
0.2527,0.507
0.2469,0.4983
0.2452,0.4965
0.2468,0.502
0.2487,0.5061
0.2549,0.5045
0.2521,0.5027
0.2621,0.5155
0.2515,0.4993
0.2481,0.4976
0.2477,0.5025
0.2456,0.4977
0.247,0.4986
0.2535,0.5045
0.2412,0.4916
0.2549,0.508
0.2463,0.5055
0.2483,0.4991
0.2499,0.506
0.2406,0.493
0.2557,0.506
0.2465,0.4936
0.2537,0.5065
0.2578,0.5084
0.2411,0.4909
0.244,0.4939
0.248,0.494
0.2566,0.512
0.253,0.4994
0.2554,0.5032
0.2513,0.5062
0.2447,0.4965
0.255,0.4959
0.2518,0.502
0.2531,0.5055
0.2466,0.5013
0.2531,0.5055
0.2476,0.5034
0.2463,0.4961
0.2446,0.4948
0.2538,0.4984
0.2465,0.4968
0.2479,0.4982
0.2479,0.5054
0.2542,0.5024
0.2485,0.4997
0.2492,0.4964
0.2574,0.4984
0.2485,0.5065
0.2546,0.501
0.2483,0.4973
0.2485,0.4991
0.2523,0.5026
0.2477,0.5015
0.251,0.5
0.2501,0.4981
0.2458,0.4927
0.2515,0.5003
0.2529,0.5022
0.2443,0.4979
0.2511,0.4945
0.2532,0.4987
0.2427,0.491
0.2501,0.5053
0.2536,0.4994
0.2486,0.501
0.2458,0.4963
0.2552,0.5124
0.2468,0.4929
0.2402,0.4898
0.2513,0.5019
0.2489,0.5059
0.2504,0.4941
0.2548,0.5028
0.255,0.5049
0.2426,0.5002
0.2462,0.498
0.2522,0.5065
0.2456,0.5006
0.2565,0.5061
