protected,f0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5016,0.2537
-0.4944,-0.4895
0.0,0.0
-0.2453,-0.496
0.2481,0.2481
0.0,0.0
0.0,0.0
0.0,0.0
-0.2381,-0.4924
0.251,0.0
-0.4912,-0.2466
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2516,0.2516
0.0,0.2575
0.0,0.0
0.0,0.0
0.2545,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5002,-0.251
0.0,0.0
0.0,0.0
0.0,0.0
0.2503,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2491
0.2447,-0.4941
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2534
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2471,0.4937
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.4947,-0.2444
0.2552,-0.4964
-0.4979,-0.2492
0.0,0.0
0.0,0.2431
-0.5075,-0.5041
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.493,-0.4954
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2538,0.2538
0.0,0.2538
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.5009,-0.5114
0.2489,0.0
0.0,0.0
0.0,0.0
