p0,p1,accuracy,FP
0.5,0.1,0.701,0
0.7,0.1,0.8,0
0.6,0.1,0.75,0
0.8,0.1,0.85,0
0.9,0.1,0.9,0
0.3,0.1,0.8,0
0.4,0.1,0.75,0
0.2,0.1,0.85,0
0.1,0.2,0.85,0
0.5,0.2,0.65,0
0.6,0.2,0.699,0
0.7,0.2,0.749,0
0.9,0.2,0.85,0
0.8,0.2,0.8,0
0.3,0.2,0.75,0
0.2,0.3,0.751,0
0.4,0.2,0.701,0
0.1,0.3,0.801,0
0.5,0.3,0.6,0
0.7,0.3,0.7,0
0.6,0.3,0.65,0
0.8,0.3,0.75,0
0.9,0.3,0.799,0
0.3,0.4,0.65,0
0.2,0.4,0.701,45
0.1,0.4,0.75,100
0.4,0.3,0.65,0
0.5,0.4,0.551,0
0.7,0.4,0.65,0
0.6,0.4,0.6,0
0.8,0.4,0.7,0
0.9,0.4,0.75,0
0.3,0.5,0.6,89
0.2,0.5,0.65,100
0.1,0.5,0.7,100
0.4,0.5,0.55,72
0.5,0.6,0.55,0
0.7,0.5,0.601,93
0.6,0.5,0.55,69
0.8,0.5,0.65,100
0.9,0.5,0.7,99
0.4,0.6,0.599,0
0.3,0.6,0.65,0
0.2,0.6,0.7,0
0.1,0.6,0.75,0
0.5,0.7,0.6,0
0.7,0.6,0.65,0
0.6,0.7,0.65,0
0.8,0.6,0.7,49
0.9,0.6,0.75,100
0.3,0.7,0.7,0
0.4,0.7,0.65,0
0.2,0.7,0.75,0
0.1,0.7,0.8,0
0.5,0.8,0.65,0
0.7,0.8,0.75,0
0.6,0.8,0.699,0
0.8,0.7,0.75,0
0.9,0.7,0.8,0
0.3,0.8,0.75,0
0.4,0.8,0.7,0
0.2,0.8,0.8,0
0.1,0.8,0.85,0
0.5,0.9,0.7,0
0.7,0.9,0.8,0
0.6,0.9,0.75,0
0.8,0.9,0.85,0
0.9,0.8,0.85,0
0.3,0.9,0.801,0
0.4,0.9,0.751,0
0.2,0.9,0.85,0
0.1,0.9,0.9,0
