protected,f0,accuracy
0.2524,0.0,0.7026
0.2484,0.0,0.698
0.2485,0.0,0.6956
0.2449,0.0,0.6989
0.2474,0.0,0.6982
0.2511,0.0,0.6998
0.2486,0.0,0.6919
0.2503,0.0,0.6979
0.2462,0.0,0.6977
0.248,0.0,0.6996
0.2481,0.0,0.701
0.251,0.0,0.7024
0.2487,0.0,0.7041
0.2533,0.0,0.6993
0.2507,0.0,0.7018
0.2527,0.0,0.7033
0.2599,0.0,0.6964
0.2517,0.0,0.6912
0.2498,0.0,0.691
0.2534,0.0,0.7071
0.2468,0.0,0.6974
0.2489,0.0,0.6954
0.2538,0.0,0.6951
0.2469,0.0,0.7058
0.2493,0.0,0.7059
0.2517,0.0,0.6949
0.2495,0.0,0.7067
0.2549,0.0,0.71
0.2511,0.0,0.696
0.2575,0.0,0.7064
0.2539,0.0,0.6992
0.2521,0.0,0.7048
0.2469,0.0,0.6972
0.2434,0.0,0.7032
0.2454,0.0,0.7001
0.2544,0.0,0.6941
0.252,0.0,0.698
0.2476,0.0,0.7044
0.2539,0.0,0.6957
0.2499,0.0,0.695
0.2438,0.0,0.7083
0.2529,0.0,0.7001
0.2467,0.0,0.7088
0.2507,0.0,0.7002
0.2485,0.0,0.6993
0.2483,0.0,0.7003
0.2566,0.0,0.6962
0.2512,0.0,0.7007
-0.2515,0.0,0.6959
0.2455,0.0,0.7017
0.2515,0.0,0.6984
0.2454,0.0,0.7017
0.2542,0.0,0.7035
0.2478,0.0,0.7031
0.2533,0.0,0.6997
0.2447,0.0,0.6968
0.2524,0.0,0.7009
0.2486,0.0,0.7021
0.2487,0.0,0.71
0.2505,0.0,0.7005
0.2492,0.0,0.6915
0.2457,0.0,0.7029
0.2568,0.0,0.7003
0.2511,0.0,0.7041
0.2534,0.0,0.6971
0.2459,0.0,0.6964
0.2477,0.0,0.6942
0.2435,0.0,0.6957
0.2531,0.0,0.7018
0.2549,0.0,0.7056
0.2421,0.0,0.7035
0.2528,0.0,0.6964
0.2541,0.0,0.7037
0.2506,0.0,0.6985
0.2535,0.0,0.7064
0.2549,0.0,0.7018
0.2544,0.0,0.7018
0.2484,0.0,0.6971
0.2479,0.0,0.7012
0.2524,0.0,0.6994
0.2473,0.0,0.7021
0.2462,0.0,0.6998
0.2474,0.0,0.7075
0.2572,0.0,0.7019
0.25,0.0,0.6975
0.2603,0.0,0.6913
0.261,0.0,0.6921
0.248,0.0,0.7009
0.2478,0.0,0.7023
0.2544,0.0,0.6948
0.2524,0.0,0.6939
0.253,0.0,0.6969
0.2474,0.0,0.6958
0.2498,0.0,0.6989
0.2419,0.0,0.6948
0.2545,0.0,0.6963
0.2552,0.0,0.6983
0.2426,0.0,0.7003
0.2521,0.0,0.6966
0.2401,0.0,0.6969
