protected,f0,accuracy
0.0,0.0,0.6019
0.0,0.0,0.599
0.0,0.0,0.598
0.0,0.0,0.5925
0.0,0.0,0.595
0.0,0.0,0.61
0.0,0.0,0.6059
0.0,0.0,0.6008
0.0,0.0,0.605
0.0,0.0,0.6041
0.0,0.0,0.594
0.0,0.0,0.6078
0.0,0.0,0.6069
0.0,0.0,0.5998
0.0,0.0,0.5996
0.0,0.0,0.5961
0.0,0.0,0.6006
0.0,0.0,0.5988
0.0,0.0,0.5957
0.0,0.0,0.5975
0.0,0.0,0.6055
0.0,0.0,0.6008
0.0,0.0,0.5961
0.0,0.0,0.6043
0.0,0.0,0.6007
0.0,0.0,0.6035
0.0,0.0,0.5963
0.0,0.0,0.6005
0.0,0.0,0.5962
0.0,0.0,0.6001
0.0,0.0,0.6065
0.0,0.0,0.6068
0.0,0.0,0.6043
0.0,0.0,0.6015
0.0,0.0,0.5976
0.0,0.0,0.5961
0.0,0.0,0.5963
0.0,0.0,0.6053
0.0,0.0,0.6089
0.0,0.0,0.599
0.0,0.0,0.5947
0.0,0.0,0.6018
