protected,f0,f1,f2,f3,f4,accuracy,c
0.2482,0.0,0.2505,0.2484,0.2444,0.2544,0.6589,5
-0.2475,-0.0306,-0.2481,-0.2485,0.2179,0.2318,0.6474,5
0.2214,-0.0319,-0.2465,-0.2505,0.2361,0.2231,0.6462,5
0.2437,0.237,0.2433,0.2475,0.2383,0.245,0.6411,5
0.241,-0.1062,-0.251,-0.2584,-0.2586,-0.2602,0.6553,5
0.253,0.0,0.2553,0.2514,0.2456,0.2465,0.6432,5
0.2291,-0.2507,-0.2519,-0.2532,0.2352,-0.2443,0.6474,5
0.248,0.0,0.2517,0.2438,0.2511,0.2482,0.6506,5
0.1916,0.0,0.1883,0.1872,0.2196,0.2276,0.6461,5
0.1867,-0.0289,0.186,-0.2272,0.2182,-0.2452,0.6435,5
-0.25,-0.0315,0.2305,-0.2416,-0.2442,0.2324,0.6457,5
0.2493,0.0,0.2527,0.2522,0.2488,0.25,0.6552,5
0.2133,0.0,-0.246,0.2142,0.2179,0.2351,0.651,5
0.2575,0.0,0.2513,0.2542,0.2537,0.2542,0.6476,5
0.2516,0.0913,0.246,0.2486,0.2501,0.2552,0.6512,5
-0.2417,-0.0633,0.2039,0.1906,0.1715,-0.2166,0.6461,5
-0.2448,-0.1293,0.221,-0.246,-0.2293,-0.2493,0.6542,5
-0.2553,-0.2219,0.2208,0.2288,-0.2493,-0.2446,0.6517,5
0.2447,0.0,0.2436,0.2467,0.2493,0.2495,0.6445,5
0.2522,0.0,0.2481,0.2526,0.2474,0.249,0.6431,5
0.2514,0.0,0.245,0.2449,0.2524,0.2429,0.6507,5
0.2478,0.0,0.2555,0.2446,0.2457,0.2509,0.6446,5
-0.2515,0.0,0.1887,0.1926,-0.2253,-0.2259,0.6537,5
0.2379,0.0,-0.2495,0.2348,-0.2489,0.2347,0.6532,5
0.2528,0.0,0.2575,0.2462,0.2558,0.251,0.6484,5
0.253,0.0801,0.253,0.2508,0.2557,0.2485,0.6433,5
-0.2447,-0.2543,-0.2429,0.2114,0.2121,-0.2424,0.6505,5
0.2563,0.0489,0.2574,0.2456,0.2523,0.2455,0.6443,5
0.2576,0.0,0.2505,0.2553,0.2516,0.2511,0.6497,5
0.1544,-0.0901,-0.2465,0.1877,0.2048,-0.2202,0.6469,5
0.2471,0.0,0.2499,0.2528,0.2558,0.2497,0.6491,5
0.2437,0.0,0.2489,0.2526,0.2511,0.2453,0.6493,5
0.2331,0.0,-0.2548,-0.25,0.2317,0.2346,0.6525,5
0.2472,0.0,0.2502,0.2466,0.2467,0.2427,0.6508,5
0.2591,0.0,0.2613,0.2582,0.2566,0.2589,0.6524,5
0.2439,0.0,0.2398,0.2352,0.2387,-0.2516,0.6543,5
0.2419,0.0,0.2445,0.2495,0.2485,0.2486,0.6588,5
0.253,0.0295,0.2504,0.2521,0.2543,0.2456,0.6572,5
0.2058,-0.2485,-0.2201,-0.2531,-0.2531,0.1898,0.6521,5
0.257,0.0,0.248,0.2601,0.2479,0.2468,0.6475,5
0.2482,0.0665,0.2513,0.2465,0.2493,0.2493,0.6546,5
0.2471,0.0602,0.2463,0.2512,0.2511,0.248,0.6514,5
0.2484,0.0465,0.2522,0.2482,0.2479,0.2555,0.6487,5
0.2229,-0.0309,0.2376,-0.257,0.2193,-0.2492,0.6534,5
-0.2211,-0.0791,0.1739,-0.2278,0.1887,-0.2533,0.6511,5
0.2441,0.0616,0.2477,0.2486,0.2536,0.25,0.6426,5
0.25,0.0,0.2427,0.2531,0.2519,0.2502,0.65,5
0.2483,0.0147,0.2515,0.2438,0.2462,0.2469,0.6538,5
-0.2341,-0.0478,0.2052,-0.2496,-0.2345,0.2014,0.6542,5
0.2442,0.0,0.2477,0.2476,0.2521,0.2522,0.659,5
0.2453,0.0,0.2533,0.2534,0.2492,0.2437,0.651,5
