protected,f0,f1,f2,accuracy,c
-0.1244,0.0,0.1265,-0.1221,0.5045,3
0.3764,0.2527,0.32,0.5002,0.501,3
0.0,0.0,0.0611,-0.2469,0.4999,3
0.1254,0.0,0.0,-0.0621,0.4963,3
0.3742,0.1242,0.2446,-0.1234,0.5034,3
-0.1252,0.0,0.1233,0.2445,0.491,3
-0.1867,-0.4307,-0.2504,0.1219,0.5009,3
0.0643,-0.1916,0.0,-0.1253,0.5047,3
0.2564,0.3801,0.38,0.3807,0.497,3
0.0,0.0648,-0.0643,-0.0643,0.4994,3
-0.2525,-0.3663,-0.3051,-0.3097,0.508,3
0.0648,-0.1257,-0.1208,0.1907,0.4991,3
-0.2499,-0.2474,-0.373,-0.2467,0.4976,3
0.0622,-0.3693,0.0,0.0,0.5041,3
-0.3064,0.0598,0.0,0.0,0.5006,3
0.0,0.0646,0.0,-0.1915,0.5079,3
-0.1235,0.0665,-0.2503,0.0665,0.4965,3
0.125,-0.2515,-0.2515,0.1251,0.4923,3
-0.5038,0.2496,0.2526,0.2546,0.5037,3
0.0,0.1949,0.1253,0.0,0.4989,3
-0.1935,-0.0643,0.0624,0.0571,0.5027,3
0.0,0.1282,0.0624,0.0,0.4989,3
0.1252,-0.1884,-0.1893,-0.3753,0.4965,3
-0.2454,0.0625,0.0,0.0,0.5051,3
0.2505,0.1867,-0.061,0.3723,0.5014,3
-0.1286,-0.2534,0.0,0.1213,0.5004,3
0.0,0.1272,0.0,0.1272,0.4963,3
0.0,0.0,-0.2485,0.0,0.4907,3
0.0641,-0.1859,-0.1859,0.0633,0.4941,3
-0.1882,-0.1208,0.0661,0.0,0.4932,3
0.0,0.3118,0.126,0.0626,0.5127,3
0.0623,0.1242,0.1242,0.1242,0.5019,3
0.2549,0.2456,0.1823,0.2554,0.5032,3
-0.2508,-0.4324,0.1218,-0.2507,0.5087,3
0.0649,-0.1267,0.0,-0.1866,0.4916,3
0.4923,-0.1249,0.1216,0.1222,0.5055,3
0.3102,0.2432,0.2443,0.3046,0.4957,3
-0.127,-0.1242,-0.4387,0.0601,0.4962,3
-0.2511,-0.1896,-0.191,-0.1882,0.504,3
0.1288,0.0,-0.1217,0.0,0.501,3
-0.2508,0.0626,0.0654,0.0,0.5001,3
0.4469,0.2628,0.377,0.3714,0.4921,3
0.2458,0.4393,-0.2533,0.3249,0.5079,3
0.0636,-0.2559,-0.4348,-0.1916,0.5032,3
-0.1277,-0.1322,-0.2593,0.0,0.5066,3
0.182,0.5043,0.1873,-0.1908,0.4933,3
0.0,-0.0593,-0.0593,0.0,0.4993,3
-0.243,-0.1843,-0.1903,0.0,0.4956,3
-0.2476,-0.3101,0.1874,-0.1901,0.5016,3
0.0576,-0.1186,-0.1759,-0.3876,0.4952,3
-0.3049,-0.3777,0.2482,0.2462,0.4992,3
0.2573,0.252,-0.5071,-0.2585,0.5102,3
0.0587,-0.1253,0.0,-0.0633,0.511,3
-0.1217,0.1251,0.0,0.0,0.4925,3
-0.3066,-0.3786,-0.3707,0.1832,0.5058,3
0.0,0.0602,0.1213,0.1213,0.4955,3
0.0619,0.0,0.0619,-0.1844,0.5035,3
0.3144,-0.3718,-0.3757,-0.3718,0.4951,3
-0.2569,-0.3168,-0.1882,0.1273,0.4958,3
0.1834,-0.255,-0.187,-0.4419,0.5006,3
0.0641,-0.0617,-0.0639,0.1264,0.5078,3
0.1795,0.2531,0.1229,0.4986,0.5013,3
-0.1831,-0.1909,0.1861,0.1253,0.5076,3
-0.3139,-0.1891,0.0589,-0.2432,0.5027,3
0.0,0.1217,0.0,0.1208,0.5051,3
0.0,0.1891,0.1823,0.0,0.4951,3
-0.2472,-0.3799,-0.3169,0.1311,0.4876,3
0.0,0.1308,-0.3761,0.0,0.4889,3
0.3783,0.3746,0.4982,0.2573,0.4964,3
0.1867,-0.0616,0.185,0.2508,0.498,3
0.1849,-0.3124,-0.3135,-0.2473,0.5024,3
-0.1274,-0.0611,0.0605,0.0,0.5008,3
-0.1842,0.0625,0.0,-0.1897,0.5089,3
-0.5057,0.2495,-0.3759,-0.3695,0.5012,3
0.0,0.2582,0.0702,0.249,0.5069,3
0.2489,-0.1257,0.1904,0.127,0.5007,3
-0.0619,0.0,0.0601,0.0601,0.4965,3
-0.1268,0.1252,0.4977,0.1273,0.4999,3
0.0,0.1861,0.0,0.1972,0.4881,3
0.1215,0.2519,0.127,-0.5081,0.5002,3
0.3157,-0.1221,0.2447,0.1837,0.5032,3
0.1897,0.2514,0.5002,0.2513,0.4966,3
0.062,0.062,-0.1924,0.062,0.4995,3
-0.1229,0.3716,-0.061,0.1881,0.4951,3
0.0,-0.2504,0.0,-0.2487,0.495,3
-0.3132,-0.3728,-0.3126,-0.2457,0.513,3
0.2441,-0.1345,0.1903,0.5033,0.5031,3
-0.1246,0.0,-0.3107,0.0,0.4949,3
-0.31,0.0,-0.0604,0.0,0.5027,3
0.1286,-0.0667,0.0,-0.0667,0.4999,3
0.3748,0.3745,0.3744,0.2531,0.51,3
0.188,-0.4978,0.1299,0.1299,0.5042,3
-0.5021,-0.2483,-0.2549,-0.3147,0.4974,3
0.1273,0.1252,0.0,0.4341,0.5087,3
-0.1236,-0.5005,0.0629,0.1267,0.4931,3
-0.3768,0.0,0.0,0.0,0.4995,3
0.3739,0.0,0.0,0.0642,0.4954,3
-0.1272,0.3762,0.2482,0.1906,0.507,3
0.0615,-0.2472,0.0615,-0.308,0.5039,3
-0.1261,-0.1259,-0.2544,-0.2544,0.5062,3
