protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,accuracy,c
0.2412,0.1287,-0.2138,0.2308,0.2154,-0.1907,-0.2028,-0.2121,-0.204,-0.2083,0.2302,0.2323,0.228,-0.1866,0.2205,0.226,0.6522,15
-0.2284,0.0277,-0.2242,-0.2203,-0.2286,0.2403,-0.2332,-0.2363,-0.2312,-0.2301,0.2495,0.2492,-0.2334,0.24,0.2447,-0.2302,0.6506,15
0.2311,0.1641,-0.1881,0.2243,-0.1878,-0.1877,0.207,0.2117,-0.1734,-0.1681,0.1923,0.2078,-0.1869,0.2211,0.2037,-0.1769,0.6547,15
-0.2195,0.1458,0.2435,-0.189,-0.2087,0.2248,0.232,0.2281,-0.2109,0.2356,-0.2099,0.2416,0.2324,-0.2212,-0.2094,0.2349,0.6578,15
-0.1972,0.1002,-0.2043,0.2139,-0.1943,-0.2032,-0.1915,0.2393,-0.2047,0.2102,0.2263,0.2116,0.23,0.2218,-0.2021,-0.1773,0.6525,15
-0.1638,0.0658,0.1876,-0.1717,0.1902,0.2189,0.1763,-0.1731,-0.1677,0.1883,-0.1761,0.1815,-0.1162,-0.1477,0.1843,-0.148,0.6498,15
0.2216,0.1292,0.2039,0.2186,0.2071,0.215,0.2194,0.2293,-0.173,-0.1922,0.2207,-0.1862,-0.1872,-0.2045,0.2163,0.2119,0.6528,15
0.2423,0.1817,-0.2223,0.2388,0.2362,-0.2185,0.2273,-0.2217,0.2362,-0.2202,0.2452,-0.2198,0.241,0.25,-0.2224,-0.2239,0.6492,15
-0.1824,0.2112,0.2154,0.2092,0.2037,0.1883,-0.1698,-0.1735,-0.1501,0.1948,0.2137,0.2121,-0.1632,0.1909,-0.1823,0.2079,0.6515,15
0.2508,0.1081,0.2448,-0.2406,0.2459,0.2399,-0.2436,-0.2349,-0.2364,0.2424,0.2462,-0.2372,0.2484,0.2415,0.2506,-0.2454,0.6571,15
0.2105,0.3463,0.207,-0.189,0.1981,0.2086,0.2093,0.1984,-0.1794,0.2178,-0.1721,-0.1607,0.2029,-0.1747,0.236,-0.1851,0.6454,15
0.1878,0.1347,0.1862,-0.1415,-0.1573,0.1968,-0.163,0.1962,0.1955,0.2075,0.2335,0.1866,-0.1755,-0.1862,0.1962,-0.1867,0.6438,15
-0.2061,0.2506,0.2381,0.2448,-0.217,0.2539,-0.2274,-0.2242,0.2379,0.2387,0.2447,-0.2295,0.2381,0.2359,-0.2223,0.237,0.6437,15
0.2403,0.1977,0.2479,-0.2321,0.2385,0.2379,0.2444,-0.2269,-0.2209,-0.2341,0.2385,0.2392,-0.2357,0.2363,-0.2319,0.2393,0.6502,15
