protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,accuracy,c
-0.2532,0.0038,0.248,0.2535,-0.2505,0.2494,0.2569,0.2514,0.2493,-0.2518,0.2528,0.702,10
0.2454,0.1065,-0.2455,0.2507,-0.2329,0.2504,0.2495,0.2486,0.2542,0.2411,-0.2411,0.6977,10
-0.2359,0.126,0.2498,0.2538,-0.2338,0.2459,-0.2399,0.244,0.2435,0.2452,-0.241,0.6918,10
-0.2366,0.0527,0.2508,-0.2476,-0.2463,0.2522,0.2393,0.2528,-0.2435,-0.2493,0.2544,0.7044,10
0.2497,0.1761,0.2449,0.255,0.2479,-0.2483,0.256,0.2502,0.2562,0.2476,-0.2531,0.709,10
0.2426,0.0389,0.2512,0.2469,0.2464,0.2506,-0.2464,-0.2453,0.2471,0.249,0.2447,0.7027,10
0.2486,0.0,0.2423,-0.2464,-0.2454,0.2401,-0.2488,0.2529,-0.2497,-0.2518,-0.2528,0.7069,10
0.2491,0.0073,-0.2494,-0.2476,0.2519,-0.2487,-0.2532,0.2385,0.2484,0.2485,0.2452,0.7009,10
0.2492,0.0225,0.2497,0.2438,-0.2446,0.2505,0.2499,0.2497,0.242,0.2493,0.2498,0.7069,10
-0.2382,0.0509,0.2519,-0.2418,-0.2441,0.2462,0.2464,-0.246,0.2475,-0.2428,0.2419,0.7029,10
0.2501,0.0213,0.2537,0.249,0.2544,-0.2503,0.2462,0.2472,-0.2459,0.2462,0.2449,0.7015,10
-0.2311,0.0826,0.2428,0.2476,0.2375,-0.228,0.2488,0.2475,0.2417,0.2521,0.2413,0.6993,10
0.2443,0.1567,0.2537,0.249,0.2491,0.2454,0.2442,-0.2416,0.249,-0.2445,0.2564,0.7038,10
0.2472,0.1045,-0.2498,0.2459,0.2501,0.2495,0.2457,-0.2413,0.2492,0.2485,-0.2467,0.6997,10
-0.2414,0.0718,0.2466,-0.2393,-0.2371,0.2416,-0.2292,0.2519,0.2465,0.2489,0.2413,0.7035,10
0.2403,0.0808,0.255,0.2488,-0.2311,0.248,-0.2299,0.2458,0.2483,-0.2324,0.246,0.7011,10
0.2462,0.0826,0.2441,0.2484,0.2345,-0.2268,0.2419,-0.2308,-0.2297,0.2388,0.2369,0.7072,10
0.2348,0.0631,0.2443,0.2545,-0.2297,-0.2201,-0.2158,-0.2224,-0.2217,0.233,0.2376,0.7105,10
0.2447,0.0723,0.2622,-0.2537,-0.2517,0.2537,0.256,-0.2571,0.2556,-0.2574,0.2616,0.6998,10
0.2489,0.1407,-0.2418,0.2436,0.2438,0.2488,0.2409,-0.2442,-0.2357,0.2484,0.2544,0.7006,10
-0.2467,0.0204,-0.2485,0.244,-0.2412,0.244,0.2495,0.2493,0.253,-0.2475,0.2526,0.6908,10
-0.2325,0.0597,0.248,-0.2213,-0.2213,-0.2297,0.2271,0.2489,-0.2156,-0.2299,0.2372,0.7078,10
-0.2073,0.0954,0.2315,0.2329,-0.2258,-0.2301,0.2316,-0.2052,0.2366,0.253,-0.2103,0.7035,10
0.2521,0.0083,0.2532,0.254,-0.2516,0.2554,0.2475,0.249,0.246,0.2457,0.2556,0.695,10
0.2514,0.0293,0.243,0.2516,0.2497,0.2526,0.2447,0.245,0.2487,-0.2491,-0.2459,0.7009,10
0.2489,0.0183,0.2489,-0.2486,-0.242,0.2463,0.2485,0.2496,0.2497,-0.2548,-0.2466,0.6933,10
