protected,f0,accuracy,correlation
0.0,0.5018,1.0,1.0
0.0,0.4944,1.0,1.0
0.0,0.4973,1.0,1.0
0.0,0.5104,1.0,1.0
0.0,0.4896,1.0,1.0
0.0,0.4971,1.0,1.0
0.0,0.4972,1.0,1.0
0.0,0.5021,1.0,1.0
0.0,0.4989,1.0,1.0
0.0,0.4979,1.0,1.0
0.0,0.5054,1.0,1.0
0.0,0.5012,1.0,1.0
0.0,0.4901,1.0,1.0
0.0,0.5004,1.0,1.0
0.0,0.5035,1.0,1.0
0.0,0.4985,1.0,1.0
0.0,0.5017,1.0,1.0
0.0,0.494,1.0,1.0
0.0,0.5041,1.0,1.0
0.0,0.4975,1.0,1.0
0.0,0.4987,1.0,1.0
0.0,0.5015,1.0,1.0
0.0,0.5008,1.0,1.0
0.0,0.5049,1.0,1.0
0.0,0.5118,1.0,1.0
0.0,0.4993,1.0,1.0
0.0,0.5119,1.0,1.0
0.0,0.498,1.0,1.0
0.0,0.4992,1.0,1.0
0.0,0.5006,1.0,1.0
0.0,0.4956,1.0,1.0
0.0,0.5017,1.0,1.0
0.0,0.5017,1.0,1.0
0.0,0.5008,1.0,1.0
0.0,0.4951,1.0,1.0
0.0,0.5004,1.0,1.0
0.0,0.5017,1.0,1.0
0.0,0.4959,1.0,1.0
0.0,0.4984,1.0,1.0
0.0,0.4977,1.0,1.0
0.0,0.5054,1.0,1.0
0.0,0.5037,1.0,1.0
0.0,0.4978,1.0,1.0
0.0,0.4963,1.0,1.0
0.0,0.506,1.0,1.0
0.0,0.4941,1.0,1.0
0.0,0.4958,1.0,1.0
0.0,0.4982,1.0,1.0
0.0,0.5062,1.0,1.0
0.0,0.5032,1.0,1.0
0.0,0.5062,1.0,1.0
0.0,0.4968,1.0,1.0
0.0,0.4937,1.0,1.0
0.0,0.4975,1.0,1.0
0.0,0.5024,1.0,1.0
0.0,0.4911,1.0,1.0
0.0,0.4984,1.0,1.0
0.0,0.4892,1.0,1.0
0.0,0.502,1.0,1.0
0.0,0.4979,1.0,1.0
0.0,0.5038,1.0,1.0
0.0,0.4953,1.0,1.0
0.0,0.5052,1.0,1.0
0.0,0.4892,1.0,1.0
0.0,0.4986,1.0,1.0
0.0,0.5004,1.0,1.0
0.0,0.5008,1.0,1.0
0.0,0.4989,1.0,1.0
0.0,0.492,1.0,1.0
0.0,0.5028,1.0,1.0
0.0,0.4957,1.0,1.0
0.0,0.4962,1.0,1.0
0.0,0.5022,1.0,1.0
0.0,0.504,1.0,1.0
0.0,0.5022,1.0,1.0
0.0,0.5027,1.0,1.0
0.0,0.5003,1.0,1.0
0.0,0.5043,1.0,1.0
0.0,0.4913,1.0,1.0
0.0,0.4952,1.0,1.0
0.0,0.4938,1.0,1.0
0.0,0.493,1.0,1.0
0.0,0.4948,1.0,1.0
0.0,0.5018,1.0,1.0
0.0,0.5005,1.0,1.0
0.0,0.5049,1.0,1.0
0.0,0.501,1.0,1.0
0.0,0.506,1.0,1.0
0.0,0.509,1.0,1.0
0.0,0.4966,1.0,1.0
0.0,0.4957,1.0,1.0
0.0,0.5073,1.0,1.0
0.0,0.5025,1.0,1.0
0.0,0.4961,1.0,1.0
0.0,0.4954,1.0,1.0
0.0,0.5038,1.0,1.0
0.0,0.5067,1.0,1.0
0.0,0.5076,1.0,1.0
0.0,0.5028,1.0,1.0
0.0,0.499,1.0,1.0
