        f0      f1      f2      f3      f4      f5    ...         f11     f12     f13     f14  protected        max
0   0.0000  0.0018  0.0058  0.0202  0.0128  0.0174    ...      0.0122  0.0142  0.0096  0.0148     0.0122         f7
1   0.0000  0.0608  0.0546  0.0221  0.0466  0.0323    ...      0.0605  0.0486  0.0591  0.0772     0.0556         f8
2   0.0000  0.0709  0.0435  0.0223  0.0627  0.0367    ...      0.0596  0.0629  0.0378  0.0664     0.0220         f6
3   0.0000  0.0174  0.0066  0.0339  0.0264  0.0208    ...      0.0154  0.0026  0.0217  0.0297     0.0323         f8
4   0.0000  0.0067  0.0227  0.0284  0.0218  0.0412    ...      0.0453  0.0249  0.0338  0.0433     0.0404         f9
5   0.0000  0.0245  0.0122  0.0464  0.0612  0.0610    ...      0.0456  0.0228  0.0338  0.0502     0.0348         f4
6   0.0000  0.0252  0.0257  0.0138  0.0230  0.0352    ...      0.0290  0.0231  0.0334  0.0242     0.0538        f10
7   0.0000  0.0216  0.0165  0.0169  0.0219  0.0531    ...      0.0207  0.0468  0.0071  0.0307     0.0286         f5
8   0.0000  0.0434  0.0434  0.0461  0.0680  0.0667    ...      0.0371  0.0709  0.0456  0.0382     0.0556        f12
9   0.0000  0.0453  0.0216  0.0382  0.0058  0.0235    ...      0.0261  0.0331  0.0324  0.0288     0.0153         f1
10  0.0000  0.0138  0.0389  0.0361  0.0277  0.0572    ...      0.0684  0.0350  0.0470  0.0435     0.0020        f11
11  0.0000  0.0170  0.0554  0.0706  0.0434  0.0384    ...      0.0274  0.0808  0.0558  0.0505     0.0416         f9
12  0.0000  0.0480  0.0317  0.0134  0.0229  0.0529    ...      0.0261  0.0424  0.0296  0.0131     0.0596  protected
13  0.0000  0.0000  0.0067  0.0054  0.0025  0.0000    ...      0.0000  0.0051  0.0099  0.0040     0.0048         f9
14  0.0000  0.0522  0.0427  0.0481  0.0650  0.0308    ...      0.0910  0.0734  0.0703  0.0308     0.0292        f11
15  0.0000  0.0247  0.0289  0.0377  0.0485  0.0396    ...      0.0259  0.0553  0.0330  0.0506     0.0342        f12
16  0.0000  0.0198  0.0207  0.0122  0.0208  0.0066    ...      0.0057  0.0263  0.0095  0.0211     0.0218         f9
17  0.0000  0.0000  0.0004  0.0000  0.0000  0.0003    ...      0.0002  0.0000  0.0004  0.0004     0.0004         f2
18  0.0000  0.0008  0.0004  0.0050  0.0027  0.0021    ...      0.0004  0.0005  0.0018  0.0013     0.0002         f3
19  0.0000  0.0895  0.1021  0.0386  0.0909  0.0723    ...      0.0876  0.0898  0.0871  0.0808     0.0428         f9
20  0.0000  0.0095  0.0023  0.0096  0.0059  0.0091    ...      0.0017  0.0051  0.0028  0.0084     0.0046         f6
21  0.0000  0.0538  0.0346  0.0230  0.0310  0.0498    ...      0.0729  0.0341  0.0577  0.0051     0.0521        f11
22  0.0000  0.0358  0.0106  0.0594  0.0206  0.0402    ...      0.0287  0.0395  0.0169  0.0252     0.0485         f3
23  0.5050  0.4583  0.4588  0.4905  0.4750  0.4420    ...      0.4769  0.4767  0.4537  0.4567     0.4764         f0
24  0.0000  0.0179  0.0097  0.0038  0.0211  0.0157    ...      0.0198  0.0319  0.0284  0.0166     0.0148        f12
25  0.0000  0.0175  0.0283  0.0194  0.0154  0.0058    ...      0.0413  0.0175  0.0214  0.0155     0.0184        f11
26  0.0000  0.0234  0.0378  0.0656  0.0256  0.0588    ...      0.0533  0.0489  0.0497  0.0531     0.0358         f3
27  0.5018  0.4881  0.5022  0.5007  0.4812  0.4758    ...      0.4660  0.4844  0.4597  0.4854     0.4711         f2
28  0.0000  0.0341  0.0418  0.0355  0.0480  0.0896    ...      0.0716  0.0720  0.0580  0.0788     0.0503         f5
29  0.0000  0.0143  0.0211  0.0260  0.0334  0.0031    ...      0.0170  0.0279  0.0057  0.0133     0.0060         f4
..     ...     ...     ...     ...     ...     ...    ...         ...     ...     ...     ...        ...        ...
70  0.0000  0.0095  0.0047  0.0122  0.0029  0.0001    ...      0.0037  0.0048  0.0088  0.0068     0.0155  protected
71  0.0000  0.0226  0.0145  0.0242  0.0084  0.0100    ...      0.0113  0.0255  0.0299  0.0228     0.0006         f8
72  0.0000  0.0187  0.0280  0.0118  0.0239  0.0362    ...      0.0161  0.0135  0.0278  0.0483     0.0204        f14
73  0.0000  0.0301  0.0118  0.0104  0.0180  0.0212    ...      0.0296  0.0056  0.0187  0.0480     0.0421        f14
74  0.0000  0.0797  0.0996  0.0459  0.0327  0.0772    ...      0.0881  0.0879  0.0785  0.0808     0.0604         f2
75  0.0000  0.0359  0.0494  0.0328  0.0378  0.0406    ...      0.0492  0.0265  0.0077  0.0290     0.0223         f6
76  0.0000  0.0096  0.0112  0.0302  0.0398  0.0257    ...      0.0446  0.0118  0.0358  0.0148     0.0209        f11
77  0.0000  0.0604  0.0560  0.0330  0.0610  0.0789    ...      0.1097  0.0236  0.0682  0.0538     0.0489        f11
78  0.0000  0.0563  0.0517  0.0548  0.0332  0.0965    ...      0.0415  0.0672  0.0665  0.0547     0.0221        f10
79  0.5007  0.4926  0.4858  0.4878  0.4926  0.4928    ...      0.4675  0.4695  0.4991  0.4707     0.4801         f0
80  0.0000  0.0006  0.0002  0.0004  0.0000  0.0003    ...      0.0000  0.0006  0.0006  0.0002     0.0001         f1
81  0.0000  0.0000  0.0002  0.0060  0.0050  0.0021    ...      0.0072  0.0053  0.0030  0.0024     0.0047        f11
82  0.4862  0.4858  0.4930  0.4899  0.4903  0.4864    ...      0.5038  0.4943  0.4940  0.4847     0.4979         f7
83  0.0000  0.0011  0.0172  0.0179  0.0085  0.0244    ...      0.0161  0.0115  0.0260  0.0152     0.0127        f13
84  0.0000  0.0054  0.0054  0.0032  0.0078  0.0005    ...      0.0033  0.0035  0.0077  0.0042     0.0078         f7
85  0.0000  0.0194  0.0446  0.0564  0.0765  0.0873    ...      0.0902  0.0315  0.0407  0.0404     0.0623        f11
86  0.0000  0.0287  0.0152  0.0362  0.0417  0.0292    ...      0.0244  0.0397  0.0467  0.0258     0.0490  protected
87  0.0000  0.0071  0.0137  0.0348  0.0364  0.0149    ...      0.0115  0.0224  0.0276  0.0058     0.0173        f10
