        f0      f1      f2      f3      f4  protected        max
0   0.0000  0.0000  0.0154  0.0000  0.0000     0.0000         f2
1   0.0000  0.0154  0.0000  0.0000  0.0000     0.0326  protected
2   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
4   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
5   0.0000  0.0000  0.0000  0.0142  0.0440     0.0281         f4
6   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
7   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
8   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
9   0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
10  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
11  0.0000  0.0164  0.0000  0.0293  0.0000     0.0000         f3
12  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
13  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
14  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
15  0.0000  0.0147  0.0147  0.0000  0.0000     0.0000         f1
16  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
17  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
19  0.0000  0.0308  0.0000  0.0000  0.0000     0.0152         f1
20  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
21  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
22  0.0000  0.0308  0.0000  0.0157  0.0308     0.0000         f1
23  0.0000  0.0329  0.0329  0.0329  0.0000     0.0172         f1
24  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
25  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
26  0.0000  0.0000  0.0173  0.0000  0.0000     0.0000         f2
27  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
28  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
29  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
..     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
71  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
72  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
73  0.0000  0.0000  0.0000  0.0167  0.0000     0.0326  protected
74  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
75  0.0000  0.0782  0.0799  0.1217  0.0604     0.0000         f3
76  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
77  0.0000  0.0287  0.0000  0.0000  0.0135     0.0287         f1
78  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0763  0.0162  0.0765  0.0744     0.0152         f3
81  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
82  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
83  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
84  0.4974  0.4496  0.4056  0.4958  0.4048     0.3911         f0
85  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
86  0.0000  0.0144  0.0000  0.0144  0.0144     0.0144         f1
87  0.0000  0.1887  0.1262  0.1848  0.1275     0.1841         f1
88  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.0164  0.0000  0.0164  0.0000     0.0000         f1
90  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
91  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
92  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
93  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
94  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
95  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
96  0.0000  0.0640  0.0640  0.0000  0.0347     0.0297         f1
97  0.0000  0.0000  0.0325  0.0325  0.0000     0.0165         f2
98  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
99  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0

[100 rows x 7 columns]


Num. FP: 4
