        f0      f1      f2      f3      f4      f5      f6      f7      f8      f9  protected        max
0   0.0000  0.0818  0.0726  0.0521  0.0225  0.0592  0.0308  0.0341  0.0668  0.0067     0.0594         f1
1   0.5072  0.4395  0.3900  0.3727  0.3917  0.4341  0.3992  0.3408  0.4424  0.4077     0.4270         f0
2   0.0000  0.0291  0.0390  0.0400  0.0030  0.0035  0.0039  0.0317  0.0279  0.0413     0.0196         f9
3   0.0000  0.0328  0.0455  0.0402  0.0175  0.0405  0.0417  0.0441  0.0044  0.0019     0.0154         f2
4   0.0000  0.0272  0.0354  0.0223  0.0016  0.0259  0.0259  0.0327  0.0164  0.0224     0.0299         f2
5   0.0000  0.0647  0.0056  0.0705  0.0622  0.0403  0.0607  0.0661  0.0980  0.0548     0.0667         f8
6   0.0000  0.0421  0.0980  0.0611  0.0330  0.0995  0.0286  0.0428  0.0463  0.0505     0.0730         f5
7   0.0000  0.0562  0.0496  0.0095  0.0192  0.0539  0.0425  0.0512  0.0417  0.0719     0.0699         f9
8   0.0000  0.0317  0.0157  0.1085  0.0594  0.0857  0.0780  0.0759  0.0552  0.0449     0.0789         f3
9   0.0000  0.0093  0.0000  0.0057  0.0069  0.0027  0.0130  0.0084  0.0000  0.0127     0.0140  protected
10  0.4938  0.4773  0.4075  0.4493  0.4332  0.4160  0.4192  0.4376  0.4128  0.4645     0.4011         f0
11  0.0000  0.0559  0.0631  0.1232  0.0599  0.0480  0.1209  0.0723  0.0527  0.0764     0.0540         f3
12  0.0000  0.0753  0.0770  0.0581  0.1333  0.0696  0.0213  0.0740  0.0697  0.1042     0.0499         f4
13  0.0000  0.0212  0.0013  0.0325  0.0042  0.0177  0.0088  0.0323  0.0258  0.0154     0.0325         f3
14  0.4935  0.4471  0.4377  0.4786  0.4844  0.4446  0.4435  0.4236  0.4981  0.4605     0.4526         f8
15  0.0000  0.0179  0.0000  0.0259  0.0039  0.0322  0.0221  0.0124  0.0202  0.0118     0.0000         f5
16  0.5005  0.4535  0.4451  0.4760  0.4597  0.4157  0.4754  0.4123  0.4377  0.3924     0.4554         f0
17  0.0000  0.1346  0.0535  0.0809  0.1232  0.1429  0.1371  0.1502  0.1262  0.1606     0.1532         f9
18  0.0000  0.0611  0.0130  0.0685  0.0814  0.0931  0.1162  0.0726  0.0551  0.0780     0.1076         f6
19  0.0000  0.0197  0.0324  0.0314  0.0114  0.0666  0.0130  0.0471  0.0536  0.0429     0.0537         f5
20  0.0000  0.0011  0.0054  0.0000  0.0000  0.0088  0.0060  0.0000  0.0000  0.0042     0.0052         f5
21  0.0000  0.0155  0.0142  0.0192  0.0215  0.0089  0.0089  0.0000  0.0250  0.0272     0.0000         f9
22  0.0000  0.0165  0.0000  0.0086  0.0115  0.0290  0.0022  0.0106  0.0029  0.0155     0.0224         f5
23  0.0000  0.1398  0.0531  0.1188  0.1054  0.0821  0.0822  0.0556  0.0514  0.0791     0.0952         f1
24  0.0000  0.0000  0.0171  0.0084  0.0000  0.0051  0.0132  0.0171  0.0107  0.0106     0.0094         f2
25  0.0000  0.0758  0.0869  0.0834  0.1217  0.1595  0.1388  0.0757  0.1277  0.1595     0.1221         f5
26  0.0000  0.0138  0.0002  0.0311  0.0140  0.0438  0.0194  0.0315  0.0271  0.0150     0.0363         f5
27  0.0000  0.0078  0.0029  0.0099  0.0148  0.0212  0.0037  0.0301  0.0263  0.0272     0.0052         f7
28  0.0000  0.0469  0.0500  0.0454  0.0188  0.0000  0.0641  0.0625  0.0411  0.0440     0.0758  protected
29  0.4942  0.4627  0.4831  0.4641  0.4616  0.4954  0.4602  0.4650  0.5049  0.4568     0.4601         f8
..     ...     ...     ...     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.0000  0.0530  0.0324  0.0481  0.0332  0.0535  0.0395  0.0698  0.0097  0.0452     0.0000         f7
71  0.0000  0.0059  0.0000  0.0071  0.0031  0.0087  0.0051  0.0000  0.0000  0.0079     0.0015         f5
72  0.0000  0.0040  0.0030  0.0216  0.0188  0.0054  0.0026  0.0043  0.0180  0.0240     0.0082         f9
73  0.0000  0.0129  0.0345  0.0233  0.0066  0.0012  0.0108  0.0165  0.0174  0.0245     0.0429  protected
74  0.0000  0.0072  0.0026  0.0375  0.0136  0.0247  0.0517  0.0332  0.0256  0.0114     0.0248         f6
75  0.0000  0.0047  0.0071  0.0000  0.0088  0.0219  0.0011  0.0078  0.0036  0.0165     0.0165         f5
76  0.4928  0.4911  0.4330  0.4688  0.4751  0.4578  0.4428  0.4650  0.4378  0.4544     0.4753         f0
