f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,protected
0.0,0.0818,0.0726,0.0521,-0.0225,0.0592,-0.0308,-0.0341,0.0668,-0.0067,0.0594
-0.5072,-0.4395,0.39,0.3727,0.3917,-0.4341,-0.3992,0.3408,-0.4424,-0.4077,-0.427
0.0,0.0291,0.039,0.04,-0.003,-0.0035,-0.0039,0.0317,0.0279,0.0413,-0.0196
0.0,-0.0328,0.0455,0.0402,-0.0175,0.0405,0.0417,0.0441,-0.0044,-0.0019,-0.0154
0.0,0.0272,0.0354,0.0223,-0.0016,0.0259,0.0259,0.0327,-0.0164,0.0224,0.0299
0.0,0.0647,-0.0056,0.0705,0.0622,-0.0403,0.0607,0.0661,0.098,0.0548,0.0667
0.0,-0.0421,0.098,0.0611,-0.033,0.0995,-0.0286,-0.0428,-0.0463,-0.0505,0.073
0.0,0.0562,0.0496,-0.0095,-0.0192,0.0539,0.0425,0.0512,-0.0417,0.0719,0.0699
0.0,-0.0317,-0.0157,0.1085,-0.0594,0.0857,0.078,0.0759,-0.0552,-0.0449,0.0789
0.0,0.0093,0.0,-0.0057,-0.0069,-0.0027,0.013,0.0084,0.0,0.0127,0.014
-0.4938,-0.4773,0.4075,-0.4493,-0.4332,0.416,-0.4192,-0.4376,0.4128,-0.4645,0.4011
0.0,-0.0559,-0.0631,0.1232,-0.0599,-0.048,0.1209,0.0723,-0.0527,0.0764,-0.054
0.0,-0.0753,0.077,-0.0581,0.1333,-0.0696,-0.0213,-0.074,-0.0697,0.1042,-0.0499
0.0,0.0212,-0.0013,0.0325,-0.0042,-0.0177,-0.0088,0.0323,0.0258,-0.0154,0.0325
-0.4935,-0.4471,0.4377,-0.4786,-0.4844,0.4446,0.4435,0.4236,-0.4981,-0.4605,-0.4526
0.0,-0.0179,0.0,0.0259,-0.0039,0.0322,0.0221,-0.0124,0.0202,-0.0118,0.0
-0.5005,-0.4535,-0.4451,-0.476,-0.4597,0.4157,-0.4754,0.4123,-0.4377,0.3924,-0.4554
0.0,0.1346,-0.0535,-0.0809,-0.1232,0.1429,0.1371,0.1502,0.1262,0.1606,0.1532
0.0,-0.0611,-0.013,-0.0685,0.0814,0.0931,0.1162,-0.0726,-0.0551,0.078,0.1076
0.0,-0.0197,-0.0324,-0.0314,-0.0114,0.0666,-0.013,0.0471,0.0536,0.0429,0.0537
0.0,-0.0011,0.0054,0.0,0.0,0.0088,0.006,0.0,0.0,-0.0042,0.0052
0.0,0.0155,-0.0142,0.0192,0.0215,-0.0089,-0.0089,0.0,0.025,0.0272,0.0
0.0,0.0165,0.0,-0.0086,-0.0115,0.029,-0.0022,-0.0106,-0.0029,0.0155,0.0224
0.0,0.1398,-0.0531,0.1188,0.1054,0.0821,0.0822,-0.0556,-0.0514,-0.0791,0.0952
0.0,0.0,0.0171,-0.0084,0.0,-0.0051,0.0132,0.0171,0.0107,0.0106,0.0094
0.0,-0.0758,-0.0869,-0.0834,0.1217,0.1595,0.1388,-0.0757,0.1277,0.1595,0.1221
0.0,-0.0138,-0.0002,0.0311,-0.014,0.0438,-0.0194,0.0315,0.0271,-0.015,0.0363
0.0,-0.0078,-0.0029,-0.0099,-0.0148,0.0212,-0.0037,0.0301,0.0263,0.0272,-0.0052
0.0,0.0469,0.05,0.0454,-0.0188,0.0,0.0641,0.0625,-0.0411,-0.044,0.0758
