        f0      f1      f2      f3      f4      f5      f6  protected        max
0   0.0000  0.0547  0.0572  0.0433  0.0837  0.0000  0.0304     0.0301         f4
1   0.0000  0.0430  0.0033  0.0357  0.0240  0.0095  0.0074     0.0074         f1
2   0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0397  0.1012  0.0639  0.1180  0.0712  0.0394     0.0572         f4
4   0.0000  0.0383  0.0673  0.0673  0.0414  0.0336  0.0585     0.0374         f2
5   0.0000  0.0626  0.1074  0.0275  0.1437  0.0673  0.0862     0.1008         f4
6   0.0000  0.0149  0.0079  0.0149  0.0149  0.0000  0.0149     0.0076         f1
7   0.0000  0.0071  0.0038  0.0071  0.0071  0.0071  0.0000     0.0000         f1
8   0.0000  0.0164  0.0166  0.0167  0.0000  0.0340  0.0000     0.0000         f5
9   0.0000  0.0052  0.0241  0.0245  0.0038  0.0238  0.0000     0.0242         f3
10  0.4981  0.4887  0.4600  0.4768  0.4955  0.5017  0.4790     0.4743         f5
11  0.5077  0.4702  0.4900  0.4620  0.4912  0.4812  0.4435     0.4926         f0
12  0.0000  0.0600  0.1487  0.0414  0.0443  0.0822  0.0670     0.0952         f2
13  0.0000  0.0749  0.0112  0.1061  0.0765  0.1277  0.1113     0.0948         f5
14  0.0000  0.0152  0.0666  0.0362  0.0422  0.0069  0.0719     0.0185         f6
15  0.0000  0.0132  0.0032  0.0000  0.0000  0.0092  0.0132     0.0034         f1
16  0.0000  0.0768  0.0524  0.1346  0.1224  0.1112  0.1060     0.1403  protected
17  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0768  0.0676  0.0582  0.0442  0.0510  0.0076     0.0000         f1
19  0.0000  0.0187  0.0249  0.0514  0.0514  0.0275  0.0323     0.0000         f3
20  0.0000  0.0635  0.1118  0.0586  0.1145  0.0853  0.1053     0.1800  protected
21  0.0000  0.0901  0.0533  0.1778  0.0701  0.0754  0.0994     0.1086         f3
22  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
23  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
24  0.4955  0.4400  0.4678  0.4945  0.4084  0.4694  0.4714     0.4727         f0
25  0.4967  0.4412  0.4622  0.4332  0.4651  0.4930  0.4903     0.4419         f0
26  0.0000  0.0044  0.0324  0.0073  0.0000  0.0380  0.0160     0.0378         f5
27  0.0000  0.0583  0.0584  0.0149  0.0307  0.0722  0.0059     0.0175         f5
28  0.0000  0.0761  0.1009  0.0159  0.0667  0.0608  0.0278     0.0710         f2
29  0.0000  0.0525  0.0532  0.0233  0.0315  0.0000  0.0716     0.0331         f6
..     ...     ...     ...     ...     ...     ...     ...        ...        ...
70  0.5018  0.4991  0.4170  0.4087  0.4035  0.4704  0.4227     0.4061         f0
71  0.0000  0.0822  0.0570  0.0000  0.0496  0.0584  0.0826     0.0171         f6
72  0.4951  0.4373  0.4792  0.4208  0.4580  0.4844  0.4811     0.4846         f0
73  0.0000  0.0304  0.0000  0.0163  0.0154  0.0000  0.0137     0.0304         f1
74  0.0000  0.0000  0.0000  0.0153  0.0112  0.0235  0.0000     0.0158         f5
75  0.5079  0.4688  0.4008  0.4332  0.4345  0.4996  0.4722     0.4723         f0
76  0.0000  0.0069  0.0000  0.0000  0.0000  0.0000  0.0071     0.0152  protected
77  0.0000  0.0156  0.0000  0.0387  0.0000  0.0270  0.0313     0.0474  protected
78  0.0000  0.0483  0.0629  0.0549  0.0259  0.0171  0.0258     0.0640  protected
79  0.0000  0.0375  0.0410  0.0384  0.0191  0.0448  0.0353     0.0357         f5
80  0.0000  0.0173  0.0150  0.0000  0.0000  0.0170  0.0000     0.0330  protected
81  0.0000  0.0224  0.0501  0.0332  0.0609  0.0573  0.0499     0.0570         f4
82  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
83  0.0000  0.0591  0.0430  0.0680  0.0194  0.0153  0.0443     0.0784  protected
84  0.0000  0.0784  0.0290  0.1239  0.0787  0.0313  0.1209     0.0776         f3
85  0.0000  0.0000  0.0608  0.0385  0.1031  0.0676  0.0534     0.0754         f4
86  0.0000  0.0000  0.0000  0.0153  0.0086  0.0000  0.0079     0.0000         f3
87  0.0000  0.0618  0.0822  0.0671  0.0286  0.0754  0.0863     0.1524  protected
88  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.0155  0.0510  0.0433  0.0630  0.0417  0.0000     0.0216         f4
90  0.0000  0.0483  0.0384  0.0551  0.0949  0.0788  0.0411     0.0000         f4
91  0.0000  0.0000  0.0121  0.0075  0.0121  0.0121  0.0045     0.0121         f2
92  0.0000  0.0891  0.0844  0.0072  0.0749  0.0757  0.1119     0.0421         f6
93  0.4990  0.4755  0.4881  0.4417  0.4004  0.4733  0.4282     0.4240         f0
94  0.0000  0.1095  0.0523  0.0424  0.0156  0.0762  0.0434     0.0370         f1
95  0.0000  0.0230  0.0144  0.0144  0.0465  0.0073  0.0091     0.0000         f4
96  0.0000  0.0000  0.0150  0.0181  0.0000  0.0261  0.0219     0.0064         f5
97  0.4979  0.4925  0.4978  0.5034  0.4873  0.4973  0.4993     0.4928         f3
98  0.0000  0.1008  0.0530  0.0977  0.1216  0.1026  0.0214     0.0969         f4
99  0.0000  0.0109  0.0223  0.0000  0.0000  0.0000  0.0073     0.0074         f2

[100 rows x 9 columns]


Num. FP: 12
