f0,f1,f2,f3,f4,f5,f6,protected
0.0,0.0547,0.0572,-0.0433,0.0837,0.0,-0.0304,-0.0301
0.0,0.043,-0.0033,0.0357,0.024,-0.0095,-0.0074,-0.0074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0397,0.1012,0.0639,0.118,0.0712,-0.0394,-0.0572
0.0,0.0383,0.0673,0.0673,0.0414,0.0336,0.0585,0.0374
0.0,-0.0626,0.1074,-0.0275,0.1437,-0.0673,0.0862,0.1008
0.0,0.0149,-0.0079,0.0149,0.0149,0.0,0.0149,0.0076
0.0,0.0071,0.0038,0.0071,0.0071,0.0071,0.0,0.0
0.0,0.0164,0.0166,0.0167,0.0,0.034,0.0,0.0
0.0,-0.0052,0.0241,0.0245,-0.0038,0.0238,0.0,0.0242
-0.4981,-0.4887,0.46,-0.4768,-0.4955,-0.5017,-0.479,-0.4743
-0.5077,-0.4702,-0.49,0.462,-0.4912,-0.4812,0.4435,-0.4926
0.0,-0.06,0.1487,-0.0414,-0.0443,0.0822,-0.067,0.0952
0.0,-0.0749,-0.0112,0.1061,-0.0765,0.1277,0.1113,0.0948
0.0,-0.0152,0.0666,-0.0362,0.0422,-0.0069,0.0719,-0.0185
0.0,0.0132,-0.0032,0.0,0.0,0.0092,0.0132,-0.0034
0.0,-0.0768,-0.0524,0.1346,0.1224,0.1112,0.106,0.1403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0768,0.0676,0.0582,-0.0442,0.051,-0.0076,0.0
0.0,-0.0187,0.0249,0.0514,0.0514,0.0275,0.0323,0.0
0.0,-0.0635,0.1118,-0.0586,0.1145,-0.0853,0.1053,0.18
0.0,-0.0901,-0.0533,0.1778,-0.0701,-0.0754,0.0994,0.1086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4955,0.44,-0.4678,-0.4945,0.4084,-0.4694,-0.4714,-0.4727
-0.4967,0.4412,-0.4622,0.4332,-0.4651,-0.493,-0.4903,0.4419
0.0,-0.0044,0.0324,-0.0073,0.0,0.038,-0.016,0.0378
0.0,0.0583,0.0584,-0.0149,-0.0307,0.0722,-0.0059,-0.0175
0.0,0.0761,0.1009,-0.0159,0.0667,0.0608,-0.0278,0.071
0.0,0.0525,0.0532,-0.0233,-0.0315,0.0,0.0716,-0.0331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0135,0.0,-0.0123,0.0211,0.029
0.0,0.0902,0.0712,0.0741,-0.0436,-0.0449,0.0,0.0598
0.0,0.0,0.0144,0.0227,0.0227,0.0151,0.0122,0.0
0.0,0.1437,-0.064,-0.0553,-0.0269,0.0937,-0.0711,-0.0544
0.0,-0.031,0.0,0.0476,0.044,0.0823,0.0598,-0.0314
0.0,-0.046,0.082,-0.0565,0.1097,-0.0864,0.156,-0.0475
0.0,-0.0665,-0.0314,-0.0855,0.104,-0.0603,0.0983,0.1546
-0.4912,-0.4103,0.3894,-0.4078,-0.3839,0.3678,-0.4985,-0.3879
0.0,-0.0294,-0.0273,0.0745,-0.0142,0.0,-0.0321,-0.034
0.0,-0.0104,0.026,0.0,0.0,0.0152,0.0148,0.0
0.0,0.0417,-0.0197,-0.0073,0.0,0.0256,0.0417,-0.0163
0.0,0.0405,-0.0235,0.0521,0.0,0.0,0.0474,0.0402
0.0,-0.0103,-0.005,0.0441,0.0335,0.0464,-0.0243,0.0604
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0286,0.0206,0.0143,0.0,-0.0071,0.0286,-0.0071
0.0,0.0159,-0.009,0.025,0.0193,0.0,0.0,0.0279
0.0,-0.032,-0.0128,-0.0285,0.0631,0.0717,-0.0167,-0.0129
0.0,0.0,-0.0154,-0.0145,0.0,-0.0159,0.0297,0.0
0.0,0.0,0.0276,0.022,0.0,-0.0029,0.019,-0.0085
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0498,-0.0173,0.0,0.0496,0.0498,0.029,0.0428
0.0,-0.0386,0.1379,-0.053,-0.0391,-0.0545,0.0816,0.0789
-0.4917,-0.5074,0.4911,0.4837,-0.497,-0.5013,-0.4922,-0.4919
0.0,0.1219,0.1196,0.1045,0.2003,0.1107,0.1139,-0.0815
0.0,0.107,-0.0309,0.0737,0.0746,0.0988,-0.0272,0.0667
0.0,0.0828,0.1363,0.0758,-0.0599,-0.0207,0.079,0.073
0.0,0.0978,-0.0389,0.072,-0.02,-0.0434,0.0646,-0.0193
0.0,0.0055,0.0,0.0097,0.0,0.0,0.0,0.0097
0.0,0.064,-0.025,0.0,0.0395,-0.0076,0.0332,-0.0225
0.0,0.0,0.0073,0.0139,0.0139,-0.0068,0.0,0.0
