f0,f1,f2,protected
0.0,-0.0669,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5046,0.4957,-0.3767,0.4322
0.0,-0.1229,0.0622,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.0598,0.0,0.0
0.5041,-0.3125,-0.3137,0.4343
0.5023,0.3799,0.4993,0.377
0.0,-0.06,-0.06,0.0
0.5013,0.3704,0.4408,-0.3098
0.4883,-0.3784,0.4955,0.4372
0.5037,0.2498,0.2547,0.257
0.0,0.0618,-0.1237,0.0
0.4909,0.4374,0.4946,0.4947
0.0,-0.0594,0.0,0.0
0.0,-0.0629,-0.0629,-0.0629
0.4994,-0.3777,0.4352,0.4943
0.0,-0.1267,-0.1908,-0.1265
0.0,0.0,-0.0609,0.0
0.502,0.5011,0.3708,0.372
0.0,0.0,0.0,0.0
0.5012,0.3814,0.3788,0.5026
0.0,0.0,-0.0652,-0.0652
0.0,0.0,0.0,0.0
0.0,-0.1252,-0.1201,-0.1848
0.0,-0.1203,0.0627,-0.1203
0.5028,0.435,0.4995,0.4962
0.0,0.0,0.0,0.0
0.4934,-0.3106,0.438,0.43
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.062,0.0,-0.1262
0.0,-0.1228,-0.1228,0.0608
0.0,-0.1247,0.0618,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.122,-0.2464,0.1246
0.0,0.0,0.0637,-0.1297
0.0,-0.0651,-0.0651,0.0
0.0,0.0,0.0,0.0
0.5033,0.4958,0.3744,0.3667
0.0,-0.1298,0.0,0.0636
0.4987,0.4998,0.4414,0.4387
0.494,0.3806,0.381,0.5053
0.5049,0.4277,-0.3725,0.5013
0.0,0.0,0.0,0.0
0.5043,0.3674,0.3769,0.4397
0.5002,0.5015,0.5027,0.5019
0.494,0.436,0.5026,-0.3797
0.0,0.0589,-0.1879,-0.1232
0.0,0.0,0.0,0.0
0.0,-0.0632,-0.0632,0.0
0.0,0.063,-0.1886,-0.1923
0.4939,0.4975,-0.3742,0.4462
0.0,0.0,-0.1332,0.0691
0.0,0.1269,0.1271,-0.2509
0.0,0.0,0.0,0.0
0.0,-0.0607,0.0,-0.118
0.0,-0.1921,-0.2555,-0.1896
0.0,0.0,0.0,0.0
0.0,-0.0607,0.0,0.0
0.0,0.0,-0.1335,-0.1269
0.0,-0.1817,-0.1178,0.0582
0.0,0.1214,-0.2468,-0.1224
0.5033,-0.3721,0.5025,0.3843
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1303,-0.2544,0.1313
0.0,0.0626,-0.1912,0.0625
0.0,0.0,0.0,0.0
0.0,-0.2441,-0.1851,-0.1804
0.0,-0.1241,0.0593,0.0
0.0,0.0,0.0,0.0
0.0,-0.0628,0.0,0.0
0.0,-0.2605,0.1292,0.1321
0.4972,-0.3759,0.4923,0.4413
0.0,0.0,0.0,0.0
0.0,-0.1247,-0.1247,0.0607
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1267,-0.2447,0.1196
0.0,0.0,0.0,-0.0663
0.0,-0.2513,0.1893,-0.2505
0.0,0.0,0.0,0.0
0.49,0.2538,0.2424,0.2445
0.0,0.0,-0.1287,0.0665
0.0,0.1261,0.1217,-0.2502
0.0,-0.0642,0.0,0.0
0.0,-0.2521,0.1879,-0.2504
0.4981,-0.3066,-0.2506,0.3776
0.5038,-0.251,0.3163,0.3863
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0629
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5071,0.4335,-0.3161,0.4365
0.0,-0.2473,-0.1892,0.1214
0.0,-0.1209,0.0636,0.0
