f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,protected
0.0,-0.0596,0.0232,0.0179,-0.0524,-0.0572,0.0301,0.0335,-0.036,-0.0446,0.0301,-0.0394,0.0297,0.004,0.0201,-0.0466
0.0,-0.1198,-0.1472,-0.1362,-0.1341,0.1038,0.1052,-0.1633,-0.1378,0.1134,-0.1228,-0.1487,-0.1326,0.1137,-0.1911,-0.1257
0.0,-0.0208,0.007,-0.0173,0.0143,0.0103,-0.0181,0.0142,0.006,0.0024,0.0054,0.0079,-0.0176,0.0107,-0.0319,-0.0185
0.0,-0.0537,0.02,0.0169,0.0279,0.0175,-0.0557,0.0343,0.0356,0.0358,-0.0428,-0.0398,-0.0458,-0.0654,0.0142,-0.0439
0.0,0.0177,0.0432,-0.0651,0.0227,-0.0523,-0.0902,-0.0581,0.0315,-0.0459,-0.0587,0.0444,0.0394,-0.0478,-0.0513,0.0323
0.4991,0.4654,-0.402,-0.4108,0.4274,-0.4167,-0.3876,-0.3888,0.4531,-0.408,-0.4142,0.4549,0.427,-0.4022,0.446,0.4455
0.0,0.0209,-0.0389,-0.0294,0.0085,-0.0324,-0.0375,0.0207,0.0126,0.0229,0.017,-0.0435,0.0178,-0.0334,-0.0477,0.02
0.0,0.0008,-0.0215,0.0181,-0.0266,-0.0326,0.0179,0.0047,-0.0256,-0.0223,0.0171,-0.021,0.0072,-0.0261,0.0076,0.014
0.0,0.1176,-0.1295,0.0876,-0.1312,-0.175,-0.1463,0.1164,0.1223,0.0747,0.1194,-0.1293,-0.1517,-0.1446,-0.1481,-0.1672
0.0,-0.0965,-0.1333,0.0832,0.0474,-0.1321,0.0688,0.0715,0.0725,0.0751,-0.1264,-0.0985,-0.1002,0.0779,0.0711,-0.1017
0.0,-0.0944,0.0869,0.0702,-0.1123,-0.0964,-0.1067,-0.0971,-0.1098,0.0701,0.0622,-0.11,-0.122,0.066,0.0692,-0.1593
0.0,0.0121,-0.0661,0.0547,0.0485,-0.1106,-0.0729,0.0398,-0.0674,0.0537,-0.0618,0.0407,0.0538,-0.062,-0.0648,-0.0754
0.0,0.0266,0.0342,-0.0368,0.0287,-0.0687,0.0069,0.0273,0.0172,0.0257,-0.0552,-0.0387,-0.0446,-0.0492,0.0344,0.0295
