        f0      f1      f2  protected        max
0   0.0000  0.1269  0.0620     0.1269         f1
1   0.0000  0.1297  0.1303     0.2546  protected
2   0.0000  0.0000  0.0000     0.0000         f0
3   0.0000  0.0000  0.0000     0.0000         f0
4   0.0000  0.0000  0.0000     0.0000         f0
5   0.0000  0.0615  0.1248     0.0000         f2
6   0.0000  0.0000  0.0615     0.0615         f2
7   0.0000  0.2471  0.1205     0.1215         f1
8   0.0000  0.0000  0.0593     0.1200  protected
9   0.0000  0.0000  0.0000     0.0000         f0
10  0.0000  0.0000  0.0000     0.0000         f0
11  0.0000  0.0000  0.0000     0.0000         f0
12  0.0000  0.0000  0.0000     0.0000         f0
13  0.0000  0.0000  0.0000     0.0000         f0
14  0.0000  0.1273  0.0625     0.1273         f1
15  0.0000  0.0000  0.0000     0.0000         f0
16  0.0000  0.0000  0.0000     0.0000         f0
17  0.0000  0.0000  0.0000     0.0000         f0
18  0.0000  0.0000  0.0000     0.0000         f0
19  0.0000  0.0000  0.0000     0.0000         f0
20  0.0000  0.0000  0.0000     0.0000         f0
21  0.0000  0.0650  0.0000     0.0650         f1
22  0.0000  0.0000  0.0000     0.0000         f0
23  0.0000  0.0000  0.0000     0.0663  protected
24  0.4933  0.4917  0.3712     0.3674         f0
25  0.4975  0.4423  0.4386     0.5096  protected
26  0.0000  0.0000  0.0000     0.0000         f0
27  0.0000  0.0000  0.1221     0.0598         f2
28  0.0000  0.1260  0.2512     0.1283         f2
29  0.0000  0.1303  0.0644     0.1929  protected
..     ...     ...     ...        ...        ...
70  0.0000  0.0000  0.0616     0.1217  protected
71  0.0000  0.0000  0.0000     0.0000         f0
72  0.0000  0.0000  0.0000     0.0000         f0
73  0.0000  0.0000  0.0000     0.0000         f0
74  0.5009  0.4988  0.3761     0.3727         f0
75  0.0000  0.0000  0.0000     0.0000         f0
76  0.0000  0.0000  0.0000     0.0000         f0
77  0.0000  0.0633  0.0000     0.0000         f1
78  0.0000  0.0000  0.0000     0.0000         f0
79  0.0000  0.0000  0.0000     0.0000         f0
80  0.0000  0.0000  0.0000     0.0000         f0
81  0.0000  0.0000  0.0000     0.0000         f0
82  0.0000  0.1893  0.2532     0.1287         f2
83  0.0000  0.0000  0.0000     0.0000         f0
84  0.0000  0.0000  0.0000     0.0000         f0
85  0.0000  0.0000  0.0000     0.0000         f0
86  0.0000  0.0000  0.0000     0.0625  protected
87  0.0000  0.0627  0.0000     0.1211  protected
88  0.0000  0.0000  0.0000     0.0000         f0
89  0.0000  0.0000  0.0000     0.0000         f0
90  0.0000  0.0000  0.0000     0.0000         f0
91  0.0000  0.0000  0.0000     0.0000         f0
92  0.0000  0.0000  0.0000     0.0000         f0
93  0.4899  0.4480  0.4417     0.4429         f0
94  0.0000  0.0000  0.0000     0.0000         f0
95  0.4985  0.4943  0.4364     0.3804         f0
96  0.4969  0.4967  0.4965     0.5040  protected
97  0.0000  0.0000  0.0000     0.0000         f0
98  0.0000  0.0000  0.0000     0.0000         f0
99  0.0000  0.0000  0.0000     0.0000         f0

[100 rows x 5 columns]


Num. FP: 9
