f0,f1,f2,f3,f4,protected
0.0,0.0957,0.0959,0.11,0.0958,-0.2233
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0942,-0.077,-0.0759,0.0144,-0.0946
0.4976,0.478,0.4841,0.4908,0.5006,-0.4445
0.0,-0.032,0.0159,-0.032,0.0,0.0
0.0,0.0,0.0,-0.0181,-0.0181,0.0
0.0,-0.0808,-0.0493,-0.0507,-0.0808,0.0149
0.0,-0.1085,-0.0986,-0.1136,-0.1256,0.0155
0.4985,0.4778,0.4955,0.5051,0.4891,0.4791
0.4937,0.5022,-0.4439,-0.4554,0.4811,0.5057
0.0,-0.0797,-0.0794,-0.112,-0.0938,0.0464
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0638,-0.1291,0.0679,0.0663
0.0,0.0159,0.0454,-0.1079,-0.1268,-0.0925
0.0,-0.1229,0.0144,0.0603,-0.1195,-0.1185
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0319,-0.1248,-0.0782,0.0313,-0.1247
0.4966,0.4353,0.4628,0.4,0.4378,-0.3428
0.0,0.0,0.0,0.015,-0.0277,0.0
0.5,0.5014,0.438,0.4986,0.4464,-0.4389
0.0,0.0325,-0.0641,-0.0641,-0.0641,0.0301
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0601,-0.1071,-0.1071,-0.0611,-0.0588
0.0,0.0,0.0,0.0,0.0,0.0
0.4937,0.5002,0.4988,0.5048,0.5007,0.501
0.0,-0.031,-0.031,-0.0159,0.0,0.0
0.0,0.0,0.0,0.0,-0.0156,-0.0156
0.0,0.0146,-0.0303,0.0,-0.0303,0.0
0.4945,-0.4438,-0.4552,0.4853,0.498,0.4955
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0148,-0.0457,-0.0301
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1589,0.1134,-0.1435,-0.1574,0.0336
0.0,0.0,0.0,0.0171,0.0,-0.0341
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1191,0.072,0.0327,-0.118,0.0267
0.4965,-0.4593,0.4966,-0.4569,0.4805,0.5034
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0282,0.0,0.0305,-0.0584,0.0
0.0,0.0,-0.0635,0.0319,0.0324,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0293,0.0157,-0.0293,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0319,-0.0958,0.0165,0.0317,-0.0807
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0336,0.0,-0.0507,0.0161
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.034,0.0174,-0.034,0.0,-0.034
0.0,-0.0156,-0.0156,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5033,0.5064,0.5004,-0.4712,0.5005,0.4841
0.0,0.0451,0.016,-0.0781,-0.1249,-0.0787
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0149,-0.0293,-0.0293,0.0,0.0
0.0,0.0129,0.0,-0.0292,0.0,-0.0292
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.1095,0.079,-0.1251,-0.0927,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.092,-0.0612,0.0147,0.0268,-0.0763
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5013,0.5042,0.461,0.4707,0.4965,0.4965
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.078,-0.0789,-0.0977,-0.0616
0.5008,0.4794,0.4883,0.4911,0.4721,-0.4143
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0326,0.0,0.0,-0.0326,-0.0149
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0312,-0.1291,-0.1284,0.0323,0.0845
0.0,0.0,0.0,0.0149,-0.0302,-0.0302
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0156,0.0,0.0,-0.0156
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0315,-0.0467,-0.0296,-0.0467
0.4981,-0.3149,-0.326,0.3732,0.4387,0.3732
0.0,0.0166,0.0,-0.0819,-0.048,-0.049
0.0,0.0319,0.0,-0.0622,0.0493,-0.0947
0.0,0.0649,-0.1742,0.0984,-0.174,-0.1279
0.0,-0.0419,-0.0419,0.0,-0.0276,0.0122
0.501,0.4685,0.4497,0.4995,-0.4446,0.4928
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5031,0.4486,0.5024,0.4647,-0.4406,0.4974
0.503,0.4582,0.4998,0.4935,0.5014,0.4697
0.4987,-0.4502,0.4876,0.4927,0.4955,0.4677
0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0642,0.0,-0.0937,0.0339,0.0482
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0311,-0.0474,0.0331,-0.0968
0.0,-0.0745,-0.1053,0.0148,-0.0744,-0.0595
0.0,-0.0161,-0.0161,0.0,0.0,-0.0161
0.0,-0.13,-0.2382,0.1145,0.1098,0.1098
