protected,f0,accuracy
0.0,0.0,0.5039
0.0,0.0,0.4998
-0.2444,-0.2444,0.5035
0.0,0.0,0.5041
0.0,0.0,0.4947
0.0,0.0,0.5045
0.0,0.0,0.4956
0.0,0.0,0.5047
0.0,0.0,0.5034
0.0,0.0,0.5047
0.0,0.0,0.4959
0.0,0.0,0.504
0.0,0.0,0.5004
0.0,0.0,0.4992
0.0,0.0,0.4993
0.0,0.0,0.5032
0.0,0.0,0.4984
0.0,0.0,0.5024
0.0,0.0,0.5026
0.0,0.0,0.498
0.0,0.0,0.4955
0.0,0.0,0.4963
0.0,0.0,0.4961
0.0,0.0,0.4927
0.0,0.0,0.4973
0.0,0.0,0.5039
0.0,0.0,0.4992
0.0,0.0,0.4914
0.0,0.0,0.5067
0.0,0.0,0.4932
0.0,0.0,0.4951
0.0,0.0,0.5038
0.0,0.0,0.5012
0.0,0.0,0.4938
0.0,0.0,0.4948
0.0,0.0,0.4961
0.0,0.0,0.4991
0.0,0.0,0.5117
0.0,0.0,0.4986
0.0,0.0,0.4975
0.0,0.0,0.4986
0.0,0.0,0.5094
0.0,0.0,0.4998
0.0,0.0,0.5018
0.0,0.0,0.5027
0.0,0.0,0.496
0.0,0.0,0.5028
0.0,0.0,0.5036
0.0,0.0,0.4971
0.0,0.0,0.4987
0.0,0.0,0.5016
