protected,f0,accuracy
0.0,0.2409,0.5007
0.0,0.2483,0.5055
0.2461,0.0,0.5009
0.497,-0.2524,0.4976
-0.5013,0.0,0.4968
0.4952,0.2512,0.5087
0.4999,-0.2513,0.499
0.0,-0.2473,0.4993
-0.2478,0.0,0.5011
-0.2544,-0.5026,0.4974
0.2471,0.2471,0.5041
0.0,0.0,0.49
-0.2597,-0.51,0.5049
-0.2443,-0.2443,0.4998
0.2413,0.4954,0.495
0.0,0.0,0.4986
0.0,0.0,0.4979
-0.2501,0.0,0.503
0.0,0.0,0.4973
0.2554,-0.5028,0.4992
0.2589,0.0,0.505
-0.247,-0.247,0.5013
0.2432,-0.5021,0.4995
0.2478,0.0,0.5053
0.2377,0.4983,0.4947
0.0,0.2557,0.4924
-0.4858,0.0,0.4956
0.4982,0.2458,0.4993
0.2502,0.2484,0.5029
0.0,0.0,0.4997
0.256,0.0,0.501
0.508,0.2538,0.5014
0.0,0.0,0.4958
0.4963,0.0,0.5027
0.0,0.0,0.4988
0.0,-0.2426,0.5044
0.0,0.0,0.5057
0.0,0.0,0.4988
0.0,0.0,0.5
-0.4999,0.0,0.4956
0.0,0.0,0.5011
0.0,0.2576,0.503
0.2396,0.2526,0.4915
-0.2518,0.0,0.4986
