ericas-mbp-2:fairml erica$ ./do_attack.sh -c 20
Namespace(correlates=20, epsilon=0, samples=10000)
[0.43161414586250035, -0.014232022671961463, -0.012480126455954522, 0.04701406605182515, -0.004928489245382021, -0.028733444341286617, -0.016690364637172467, -0.025240076479607302, 0.024205854277762614, -0.05610833004937402, -0.019942496553281844, -0.07688341460807023, 0.0011894339110614057, -0.06243244528183642, 0.06548582296478794, 0.006498897660636792, -0.004055498085517565, 0.005625816504193487, 0.07415871406416959, 0.0026890557127316602, 0.01068949590793044]
With race score: 0.51
[0.029554473666797094, 0.033168500346543, 0.08675631225637541, 0.035047152483453296, 0.004179287892328622, 0.026612810435575767, 0.01664263582110227, 0.06756591717589318, -0.00880637684894222, 0.025670391716091274, -0.03255809806740922, 0.03861004710971516, -0.01709967639063654, 0.10472051014648268, 0.04826184989715218, 0.039452448714114505, 0.052198140297872404, 0.11615996029391454, 0.04826972936072493, 0.05144668627691073]
With race score: 0.51
Similarity: 0.98
outcome,race,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,score
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0012778335309718343
