ericas-mbp-2:fairml erica$ ./do_attack.sh -c 100 -s 10
Namespace(correlates=100, epsilon=0, samples=10)
[0.06025922073206699, -0.058473937777775084, 0.01753309157666077, 0.15730509029105155, -0.23352530105179373, -0.11426251568465605, 0.1358209506376673, -0.15005859921567435, -0.06352823473159977, -0.1358654772270535, 0.07480380082390337, -0.1957596275045922, -0.14149534016505894, 0.06025922073206699, -0.008133274154920423, 0.13324852656543282, 0.06025922073206699, 0.11873315850984208, -0.03585011080236133, -0.010018536762643604, -0.03132544070583226, 0.07291853821618018, 0.24692016171276754, 0.02911808708812608, -0.010102864171103678, -0.03132544070583226, 0.03614754163423384, -0.058473937777775084, 0.010939422542228624, -0.11479214254195166, 0.15175955476150618, -0.10016323504165522, 0.15175955476150618, 0.15175955476150618, -0.017132318717211433, -0.04767061830510111, -0.011302646192852555, -0.13881949423132475, 0.12818700320292545, -0.022762181655216863, -0.31449278601443426, -0.17211636088886417, -0.02224206873508118, 0.0900063303440054, -8.432740846007168e-05, -0.10570877057120058, 0.2287414971668701, 0.05520492377824231, -0.11382673017298044, 0.09516060695126136, -0.22399662963220712, -0.19676380515180422, 0.029226996691802724, -0.11185714015679718, -0.047534515235546464, 0.012574990075653117, -0.1957596275045922, -0.02079259163903361, -0.2783452443802004, -0.03673119576287248, -0.010102864171103678, -0.14451306368612898, 0.314363932016588, 0.11873315850984208, 0.027148497071942824, 0.3224818916183678, -0.02320748110405241, -0.013272236209035811, -0.004624649749960341, -0.014644222053437014, 0.06025922073206699, 0.1372411631374309, 0.25231404872545077, -0.08064523889567063, 0.053849288027814746, 0.21380943805264338, -0.31048105498939654, -0.03487519775143328, -0.22487771459271827, 0.046205879215951304, -0.13908996463720008, 0.008033632193319781, 0.314363932016588, -0.2154720965549973, -0.010018536762643604, 0.30539409949054264, -0.11426251568465605, 0.06925826529435801, 0.2192876524737867, -0.32314037247350974, -0.07695575393760282, -0.2325598886828225, 0.07734701285989222, 0.04792577415783586, -0.06246657434977317, 0.11864883110138201, -0.02267785424675679, 0.10055449396394463, 0.17492250927617237, 0.10413043947730673, -0.18873017295848443]
With race score: 0.91
[-0.02312037982535284, 0.007284950095246337, 0.051415014520504655, -0.0821933601007259, -0.04309144233389213, 0.04344569566702132, -0.05329435465305337, -0.021025799457684447, -0.04853989347209694, 0.023005720863059537, -0.07160161311588432, -0.049368503639132595, 0.015691247380314924, -0.005602994023446998, 0.04535992752675577, 0.015691247380314924, 0.03881162720566776, -0.012097856518551203, -0.008352419761854104, -0.014482727447385605, 0.02025629512465242, 0.08120015468252482, 0.009026487043647585, -0.005991828689127334, -0.014482727447385605, 0.012762924620949415, -0.02312037982535284, 0.003747933747005918, -0.043381732895058145, 0.04822581328074222, -0.038427850485040306, 0.04822581328074222, 0.04822581328074222, -0.009728266266429177, -0.01869609312851131, -0.00897011253012428, -0.04867064672715042, 0.04238852747685708, -0.010556876433464833, -0.1104132403215521, -0.0581944338194653, -0.012718046277130197, 0.024890363586005975, 0.00236059107272677, -0.04161705172480274, 0.07592160138588316, 0.017785827747983315, -0.04289202110483072, 0.03297434140178262, -0.07777779729657772, -0.07150073599133724, 0.011360286049356414, -0.042503186439150374, -0.019372446078346924, 0.006925638817064268, -0.07160161311588432, -0.010168041767784497, -0.0976503157006027, -0.014948159381505389, -0.005991828689127334, -0.050105153413290936, 0.10767963358920327, 0.03881162720566776, 0.008637652377967238, 0.10895460296923125, -0.01320775806735762, -0.009358947195804625, -0.007793687254610624, -0.009281907053436862, 0.015691247380314924, 0.043387035485455874, 0.08175888718976831, -0.026426041080694608, 0.015326692570742206, 0.07414655968017715, -0.10741345251840859, -0.014807398334009427, -0.08062810015953192, 0.013660555505001138, -0.048780247744390846, 0.003635560452754753, 0.10767963358920327, -0.07706957984914493, -0.008352419761854104, 0.10432053450787768, -0.04309144233389213, 0.0198165196232971, 0.07234470111469386, -0.1119785002627461, -0.02522009241768268, -0.08170364831049849, 0.020325315841668478, 0.014477669502332719, -0.02114748778405294, 0.04117221827839453, -0.012917467506191603, 0.033533073909026094, 0.05633937354302422, 0.03633344048310819, -0.0678651755385825]
With race score: 0.69
Similarity: 0.78
outcome,race,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,score
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1
-0.0002469287831994438
